term,term_count,term_ratio,doc_count,doc_ratio,sample_size
nash,605,0.121,598,0.12,5000
therapeutics,383,0.0766,320,0.064,5000
new,329,0.0658,325,0.065,5000
liver,315,0.063,293,0.0586,5000
announces,278,0.0556,278,0.0556,5000
altimmune,216,0.0432,161,0.0322,5000
akero,212,0.0424,148,0.0296,5000
crosby,204,0.0408,172,0.0344,5000
investors,190,0.038,171,0.0342,5000
nasdaq,176,0.0352,151,0.0302,5000
results,172,0.0344,172,0.0344,5000
trial,167,0.0334,167,0.0334,5000
david,166,0.0332,166,0.0332,5000
mash,162,0.0324,160,0.032,5000
pharmaceuticals,157,0.0314,155,0.031,5000
2024,156,0.0312,148,0.0296,5000
action,155,0.031,149,0.0298,5000
phase,154,0.0308,153,0.0306,5000
class,153,0.0306,147,0.0294,5000
disease,144,0.0288,142,0.0284,5000
2023,144,0.0288,141,0.0282,5000
niecy,137,0.0274,137,0.0274,5000
akro,136,0.0272,97,0.0194,5000
2025,129,0.0258,122,0.0244,5000
market,124,0.0248,100,0.02,5000
study,123,0.0246,122,0.0244,5000
financial,118,0.0236,116,0.0232,5000
alt,116,0.0232,92,0.0184,5000
weight,112,0.0224,110,0.022,5000
clinical,110,0.022,106,0.0212,5000
travis,109,0.0218,109,0.0218,5000
kelce,107,0.0214,104,0.0208,5000
treatment,106,0.0212,103,0.0206,5000
reports,106,0.0212,106,0.0212,5000
dies,106,0.0212,106,0.0212,5000
data,105,0.021,103,0.0206,5000
deadline,105,0.021,94,0.0188,5000
nba,105,0.021,105,0.021,5000
lawsuit,103,0.0206,99,0.0198,5000
loss,102,0.0204,101,0.0202,5000
star,101,0.0202,99,0.0198,5000
drug,100,0.02,99,0.0198,5000
stock,98,0.0196,97,0.0194,5000
health,96,0.0192,92,0.0184,5000
steve,91,0.0182,84,0.0168,5000
grotesquerie,90,0.018,90,0.018,5000
san,88,0.0176,88,0.0176,5000
world,87,0.0174,78,0.0156,5000
obesity,86,0.0172,86,0.0172,5000
death,86,0.0172,86,0.0172,5000
investor,86,0.0172,85,0.017,5000
firm,86,0.0172,79,0.0158,5000
betts,86,0.0172,84,0.0168,5000
quarter,85,0.017,85,0.017,5000
season,81,0.0162,79,0.0158,5000
law,80,0.016,74,0.0148,5000
madrigal,78,0.0156,76,0.0152,5000
nets,77,0.0154,77,0.0154,5000
jose,76,0.0152,76,0.0152,5000
report,75,0.015,74,0.0148,5000
diddy,75,0.015,74,0.0148,5000
conference,73,0.0146,73,0.0146,5000
james,73,0.0146,73,0.0146,5000
alert,72,0.0144,72,0.0144,5000
taylor,72,0.0144,72,0.0144,5000
time,71,0.0142,71,0.0142,5000
coach,70,0.014,69,0.0138,5000
meeting,69,0.0138,69,0.0138,5000
update,69,0.0138,69,0.0138,5000
81,69,0.0138,69,0.0138,5000
lead,68,0.0136,67,0.0134,5000
graham,68,0.0136,68,0.0136,5000
upcoming,67,0.0134,66,0.0132,5000
lebron,67,0.0134,67,0.0134,5000
day,66,0.0132,66,0.0132,5000
ryan,66,0.0132,66,0.0132,5000
man,66,0.0132,65,0.013,5000
patients,65,0.013,64,0.0128,5000
shares,65,0.013,65,0.013,5000
reminds,65,0.013,65,0.013,5000
annual,64,0.0128,64,0.0128,5000
american,64,0.0128,62,0.0124,5000
former,64,0.0128,64,0.0128,5000
inventiva,63,0.0126,53,0.0106,5000
securities,62,0.0124,61,0.0122,5000
fatty,61,0.0122,59,0.0118,5000
viking,61,0.0122,60,0.012,5000
kevin,61,0.0122,61,0.0122,5000
murphy,60,0.012,60,0.012,5000
global,58,0.0116,58,0.0116,5000
contact,57,0.0114,57,0.0114,5000
game,57,0.0114,56,0.0112,5000
awards,56,0.0112,56,0.0112,5000
whiskey,56,0.0112,55,0.011,5000
sean,56,0.0112,56,0.0112,5000
swift,55,0.011,55,0.011,5000
89bio,54,0.0108,54,0.0108,5000
encourages,54,0.0108,54,0.0108,5000
key,53,0.0106,53,0.0106,5000
bourbon,53,0.0106,53,0.0106,5000
